rank,id,name,number,dna_value,rarity_score,status
137,b78feed2bb074fbb0bbf7b8b8e24d98557d8bc37a058be6aab63291a56e3666di0,ORDIMUTANT OG#15,15.0,OG,315.88985446985447,epic
138,7533d899b46f0d2e7cf7a8ec22bc3dd394e089937e3121cd666a71711930d65ai0,ORDIMUTANT OG#1,1.0,OG,315.8468556963318,epic
139,4af637b0f704b0b7cb6290b84ec875630badefacee4e36afa3a1b5b0522808bfi0,ORDIMUTANT OG#10,10.0,OG,315.3385917642556,epic
140,fe8d270e74521627bd8fa234d9d12c60764d44559201fcd47d9b2c81572ffe49i0,ORDIMUTANT OG#8,8.0,OG,315.2746702646885,epic
141,dc2e4a210306baf747f6768dd569ae4215e4b6937139ce2eb092997aa3b79717i0,ORDIMUTANT OG#69,69.0,OG,315.16592492438906,epic
142,227f95912505ee984379ff82f766e6427f49de28c2e148d38c29321957fda705i4,OrdiMutants #1965,1965.0,Gen 1,315.0949766098602,epic
143,2549d40abdb807ee56e1cb6f197980c0b543b79e4cb9a5ace50d4edbd71fbf2ei1,OrdiMutants #186,186.0,Gen 1,315.05785736540423,epic
144,2cc9bf2879a6bec25dfe975160d0fed05fbc240611d80eda6cbdd37e8e68411di0,OrdiMutants #403,403.0,Gen 1,314.07919287933044,epic
145,695377975be6fd8ede0afcae48cf905e0c8de038d3472ac1343d3ce200b9fe04i5,OrdiMutants #208,208.0,Gen 1,313.80455790721595,epic
146,9d9d72c41709f19173592a1d15eb9d8aaa43ba83408c7b610c5ee91f51f17d27i0,OrdiMutants #838,838.0,Gen 1,313.37920220607685,epic
147,839dc1d742bb895e8840c52bd6158464363138e9767b6055f24feeb7b2a80fc7i0,OrdiMutants #365,365.0,Gen 1,313.3214740506211,epic
148,5ff07f397f643c786301085b250bd994fab843b3a87945f4938a811a4aeea815i0,ORDIMUTANT OG#42,42.0,OG,313.0046386383918,epic
149,2183b397abd215aaef4fc109a6a1e72e5cbe9258b3001c09f4e56474bcc93807i0,OrdiMutants #1480,1480.0,Gen 1,312.91520840006035,epic
150,bd59b297a22a5774401b5827ee3f40f766cd02a334646e28f2b2b95a9e03be6ei4,OrdiMutants #1930,1930.0,Gen 1,312.6945416390161,epic
151,1cae440d9b2ce23f83be28a199f668d5707642219579848fd8639a405cac2ba8i0,ORDIMUTANT OG#115,115.0,OG,312.2652269429868,epic
152,86a1ad95b327243361f11236a6a20ce6fe52679f16bcefeb60614096a9335c83i4,OrdiMutants #234,234.0,Gen 1,310.9460193433271,epic
153,86521f52f6247c5b5cbd6679e6d7a80c48cb192fc90f0777522d7f93dc65f5f5i0,ORDIMUTANT OG#37,37.0,OG,310.2221718771839,epic
154,23a92d029f43ede4add757a52c4aec6fadd22186b2cfe5fa85383e3767a4eadci0,ORDIMUTANT OG#16,16.0,OG,310.0361028744393,epic
155,395d8c14c9bcb55d13df3fc76a972c147bd29a8b70a92698850f793f1001439di4,OrdiMutants #35,35.0,Gen 1,309.9450750531566,epic
156,db313a150e06c6c2ff65432f701bc4f4f122243187aa1de8c35a7951db66e91fi0,ORDIMUTANT OG#76,76.0,OG,309.8613102990956,epic
157,fb85760ed22895f72563485cf387dad39ecd374b1388c4254ee78dcb2fb69580i0,ORDIMUTANT OG#127,127.0,OG,309.6450032906953,epic
158,7b957b99e2c8b901918536a703d3ad792c4243da85b8d5e5bdd07810bc8c9f13i0,OrdiMutants #218,218.0,Gen 1,309.19351333149564,epic
159,5a926429bbcd5282c09d08f412fb17881c10249045493e7288351bd8d5796286i0,ORDIMUTANT OG#55,55.0,OG,309.1416837109484,epic
160,839dc1d742bb895e8840c52bd6158464363138e9767b6055f24feeb7b2a80fc7i2,OrdiMutants #2777,2777.0,Gen 1,309.1224369891696,epic
161,2d8c28301e8b99c54520f13e8663e157a29f4d6ba08a81bbd1c29d59d3058cf2i2,OrdiMutants #3157,3157.0,Gen 1,308.26169699111466,epic
162,f140b2d8a78badb75a5696430688a1f2eb30fed49d53da58973430d4885e1d39i0,OrdiMutants #3404,3404.0,Gen 1,308.19799319668243,epic
163,a5b96ab5b01590eec685a59421313a54e74f2b2cd677841f7e39a2bdc61a0033i2,OrdiMutants #363,363.0,Gen 1,307.3495628154496,epic
164,63f2e983844eac65f6623b02a70abc5e130a8cac369ecb1211b36d6c40108ddci0,ORDIMUTANT OG#99,99.0,OG,306.8170691338374,epic
165,b76d8f971228c4e691a5b4928bdf377e756bb76f7aeb26ff70a5b4defa39924fi3,OrdiMutants #328,328.0,Gen 1,306.2143109550421,epic
166,702316449bc5dbaab09d4d8559381e4645b93db036a9f89f420988889bfb8360i0,ORDIMUTANT OG#44,44.0,OG,305.4560781492986,epic
167,eecd72b9f6df3dd91107585651072f6627dab3eabec7da18fca904295ca7f1a4i7,OrdiMutants #3307,3307.0,Gen 1,305.1757517510123,epic
168,c1bccc8a5ee4f461c6f5dddf3b1ae7aa8ccd6a390f1771c2670e91b35d57cd98i0,OrdiMutants #634,634.0,Gen 1,304.8715453064344,epic
